Size,Runtime
(bytes),(seconds)
      5120,0.00229406
      6144,0.00230098
      7168,0.00220084
      8192,0.00219893
     10240,0.00220203
     12288,0.00220394
     14336,0.00221086
     16384,0.00219989
     20480,0.00220799
     24576,0.00222087
     28672,0.00221705
     32768,0.00223184
     40960,0.00267291
     49152,0.00293708
     57344,0.00308204
     65536,0.00321889
     81920,0.00341392
     98304,0.00352788
    114688,0.00359297
    131072,0.00366378
    163840,0.00374818
    196608,0.00380898
    229376,0.00384212
    262144,0.00391102
    327680,0.00595999
    393216,0.00721407
    458752,0.00813103
    524288,0.00878596
    655360,0.00990081
    786432,0.01051903
    917504,0.01076889
   1048576,0.01110387
   1310720,0.01165295
   1572864,0.01185584
   1835008,0.01251292
   2097152,0.01222920
   2621440,0.01246095
   3145728,0.01260805
   3670016,0.01271605
   4194304,0.01367807
   5242880,0.01605701
   6291456,0.02407503
   7340032,0.03935790
   8388608,0.04853082
  10485760,0.06181598
  12582912,0.07467794
  14680064,0.07877088
  16777216,0.08736420
  20971520,0.09640908
  25165824,0.09719300
  29360128,0.10225105
  33554432,0.10237193
  41943040,0.11040092
  50331648,0.11152697
  58720256,0.11503291
  67108864,0.11246514
  83886080,0.11839485
 100663296,0.11765194
 117440512,0.12555599
 134217728,0.12187982
 167772160,0.12376809
 201326592,0.12669396
 234881024,0.12847710
 268435456,0.12895894
