Size,Runtime
(bytes),(seconds)
      5120,0.00237799
      6144,0.00225592
      7168,0.00220013
      8192,0.00219893
     10240,0.00219798
     12288,0.00219917
     14336,0.00219989
     16384,0.00219893
     20480,0.00220490
     24576,0.00219893
     28672,0.00220585
     32768,0.00220418
     40960,0.00220299
     49152,0.00220299
     57344,0.00220299
     65536,0.00220299
     81920,0.00224805
     98304,0.00242901
    114688,0.00220299
    131072,0.00220203
    163840,0.00220203
    196608,0.00220203
    229376,0.00220203
    262144,0.00220203
    327680,0.00220299
    393216,0.00220299
    458752,0.00220299
    524288,0.00220299
    655360,0.00220299
    786432,0.00220299
    917504,0.00220203
   1048576,0.00220299
   1310720,0.00220299
   1572864,0.00220203
   1835008,0.00220299
   2097152,0.00220299
   2621440,0.00220299
   3145728,0.00220299
   3670016,0.00220299
   4194304,0.00220299
   5242880,0.00220609
   6291456,0.00221395
   7340032,0.00257397
   8388608,0.00260401
  10485760,0.00261617
  12582912,0.00260186
  14680064,0.00222301
  16777216,0.00222111
  20971520,0.00222397
  25165824,0.00222683
  29360128,0.00222492
  33554432,0.00222087
  41943040,0.00222087
  50331648,0.00222301
  58720256,0.00222087
  67108864,0.00221682
  83886080,0.00221992
 100663296,0.00222015
 117440512,0.00222111
 134217728,0.00222206
 167772160,0.00221992
 201326592,0.00222611
 234881024,0.00222182
 268435456,0.00221705
