Size,Runtime
(bytes),(seconds)
      2560,0.00000000
      3072,0.00000000
      3584,0.00000000
      4096,0.00000000
      5120,0.00000000
      6144,0.00000000
      7168,0.00000000
      8192,0.00000000
     10240,0.00000000
     12288,0.00000000
     14336,0.00000000
     16384,0.00000000
     20480,0.00000000
     24576,0.00000000
     28672,0.00000000
     32768,0.00000000
     40960,0.00000000
     49152,0.00000000
     57344,0.00000000
     65536,0.00000000
     81920,0.00000000
     98304,0.00000000
    114688,0.00000000
    131072,0.00000000
    163840,0.00000000
    196608,0.00000000
    229376,0.00000000
    262144,0.00000000
    327680,0.00000000
    393216,0.00000000
    458752,0.00000000
    524288,0.00000000
    655360,0.00998592
    786432,0.00000000
    917504,0.00000000
   1048576,0.00000000
   1310720,0.00996518
   1572864,0.00000000
   1835008,0.00997186
   2097152,0.00996208
   2621440,0.00998998
   3145728,0.00999713
   3670016,0.00994706
   4194304,0.00997210
   5242880,0.00997400
   6291456,0.00997496
   7340032,0.00999689
   8388608,0.00999904
  10485760,0.00998902
  12582912,0.00999904
  14680064,0.00998807
  16777216,0.00996685
  20971520,0.00996399
  25165824,0.00995207
  29360128,0.00999308
  33554432,0.00999904
